loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,purpose,dti,loan_income_ratio,rate_term,affordability,inc_per_debt_unit,loan_rate_risk,dti_rate_interaction,loan_status
5000.0,36.0,6.24,10.0,1,110000.0,2,11.04,0.045454132235161496,224.64000000000001,65.52819698173153,9136.212624584718,31.2,0.6888960000000001,0
14000.0,60.0,16.55,2.0,1,190000.0,3,31.42,0.07368382271672254,993.0,67.56756756756756,5860.5798889574335,231.7,5.200010000000001,0
6000.0,36.0,12.88,4.0,2,50000.0,1,5.43,0.11999760004799905,463.68,24.850894632206764,7776.049766718507,77.28,0.699384,0
10000.0,36.0,9.17,10.0,1,90000.0,2,11.2,0.11110987655692714,330.12,26.903148664806697,7377.049180327869,91.7,1.02704,0
14000.0,36.0,6.49,1.0,1,95000.0,2,15.56,0.14736686982242292,233.64000000000001,20.304930179538328,5736.71497584541,90.86,1.0098440000000002,0
3400.0,36.0,6.89,2.0,2,40000.0,3,26.82,0.08499787505312367,248.04,34.92433061699651,1437.8145219266714,23.426,1.8478979999999998,0
20000.0,36.0,6.24,10.0,2,78000.0,2,11.66,0.25640696914142125,224.64000000000001,11.678977839888201,6161.137440758293,124.8,0.7275840000000001,0
17000.0,36.0,9.76,2.0,3,40000.0,2,21.81,0.42498937526561836,351.36,7.043907020427331,1753.6168347216135,165.92,2.128656,0
3000.0,36.0,12.59,1.0,3,36148.0,2,25.86,0.08298984757531329,453.24,35.71936758893281,1345.7930007446016,37.77,3.255774,0
15000.0,36.0,16.55,10.0,3,70000.0,1,34.75,0.21428265310495564,595.8000000000001,13.966480446927372,1958.041958041958,248.25,5.751125000000001,0
28400.0,36.0,15.41,10.0,1,104000.0,2,30.33,0.27307429736252536,554.76,10.972007314671542,3319.5020746887967,437.644,4.673852999999999,0
5000.0,36.0,9.76,0.0,3,27864.0,5,12.62,0.1794365691727974,351.36,16.59888800635425,2045.8149779735684,48.8,1.231712,0
16000.0,36.0,8.38,3.0,3,108000.0,1,9.91,0.14814677641873686,301.68,20.204539785482662,9899.17506874427,134.08,0.8304580000000001,0
10000.0,36.0,9.17,3.0,1,50000.0,1,8.28,0.1999960000799984,330.12,14.946193702670389,5387.931034482759,91.7,0.759276,0
11200.0,60.0,12.59,2.0,3,26520.0,2,34.93,0.4223068511745409,755.4,11.77619893428064,738.1018647369885,141.008,4.3976869999999995,0
10000.0,36.0,11.22,1.0,3,125000.0,2,10.2,0.07999936000511997,403.92,37.36548425667596,11160.714285714286,112.2,1.1444400000000001,0
30800.0,60.0,18.49,10.0,1,65000.0,2,35.56,0.47383886401747666,1109.3999999999999,10.53143227478937,1777.8993435448576,569.492,6.575044,0
6400.0,36.0,12.88,1.0,3,87000.0,2,10.62,0.07356237284628912,463.68,40.553138595400874,7487.091222030982,82.432,1.367856,0
8000.0,36.0,8.38,10.0,3,108000.0,1,6.93,0.07407338820936843,301.68,40.31856645097063,13619.167717528373,67.04,0.5807340000000001,0
14400.0,36.0,5.32,7.0,1,70000.0,2,14.87,0.2057113469807574,191.52,14.54696591853699,4410.838059231254,76.608,0.791084,0
15000.0,36.0,12.05,7.0,3,80000.0,8,14.75,0.18749765627929652,433.8,15.96169193934557,5079.3650793650795,180.75,1.7773750000000001,0
9800.0,36.0,5.32,10.0,1,112000.0,1,24.12,0.08749921875697539,191.52,34.16022773485157,4458.598726114649,52.136,1.2831840000000003,0
25000.0,36.0,5.32,4.0,1,95000.0,3,19.37,0.2631551246828981,191.52,11.38360760504873,4663.721158566519,133.0,1.0304840000000002,0
6000.0,36.0,6.89,10.0,3,32000.0,2,23.13,0.18749414080809976,248.04,15.904572564612327,1326.150020721094,41.34,1.5936569999999997,0
24000.0,36.0,11.22,2.0,1,150000.0,8,27.34,0.1599989333404444,403.92,18.72191712431353,5292.87226534933,269.28,3.067548,0
5775.0,36.0,5.32,5.0,1,91814.0,5,14.57,0.06289821924522136,191.52,47.40010325245225,5896.852922286448,30.723,0.775124,0
8900.0,36.0,15.41,1.0,3,20280.0,2,37.04,0.43883437700310635,554.76,6.808415398388541,533.1230283911672,137.149,5.707864,0
28000.0,36.0,6.24,10.0,1,91023.0,1,18.93,0.307611179469151,224.64000000000001,9.739941503780853,4567.134972403412,174.72,1.181232,0
25000.0,36.0,5.32,0.0,1,75000.0,8,23.14,0.3333288889481474,191.52,8.987058635564786,3106.8765534382765,133.0,1.2310480000000001,0
5600.0,36.0,16.99,1.0,3,30000.0,8,10.44,0.18666044465184495,611.64,15.96877217885025,2622.3776223776226,95.14399999999999,1.7737559999999997,0
26400.0,36.0,11.99,3.0,3,60000.0,5,8.55,0.4399926667888869,431.64,6.808896958692691,6282.722513089005,316.536,1.0251450000000002,0
25000.0,36.0,7.89,10.0,1,80000.0,1,11.9,0.31249609379882753,284.03999999999996,9.586195877935772,6201.550387596899,197.25,0.93891,0
8650.0,36.0,15.41,10.0,3,30000.0,2,22.6,0.28832372254258193,554.76,10.36150126640571,1271.186440677966,133.2965,3.48266,0
